Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Time,Acc_X_global,Acc_Y_global,Acc_Z_global,Gyr_X_global,Gyr_Y_global,Gyr_Z_global,Acc_Global_Mag,Acc_Local_Mag,Gyr_Global_Mag
9.527812,-0.138205,1.752162,0.02781,0.001742,0.014571,0.395087,-0.549489,-0.321386,-0.662329,-2.557372,-79.062681,-116.256276,0.33,2.7351086823038875,1.4275770402664882,-9.21374749746879,-0.010898326986970039,0.012692470983230803,0.00537951547961163,3.0852545616059195,1.7576041352560023,0.017573034387107323
9.514142,-0.156367,1.795799,0.028512,-0.001831,0.015469,0.39521,-0.549444,-0.321503,-0.662236,-2.559211,-79.065691,-116.231778,0.34,2.8951287513925124,1.5106856272486135,-9.741450437859259,-0.010900020206718777,0.013650959909215254,0.004637878174506247,3.265569100710488,1.8025938774693537,0.018073988516966618
9.5231,-0.13728,1.806436,0.017818,-0.000475,0.013032,0.395292,-0.549416,-0.321583,-0.662172,-2.560655,-79.068081,-116.21525,0.35000000000000003,3.0289938234951825,1.5803109282604344,-10.17993030353411,-0.010677980980908237,0.014487887062707101,0.0035435398125755546,3.4164581385919717,1.8116447832000622,0.018343250087530884
9.582218,-0.131669,1.800092,0.006084,-0.002614,0.012934,0.395327,-0.549427,-0.321616,-0.662125,-2.571914,-79.071856,-116.197755,0.36,3.134112105038818,1.6351665896701912,-10.52093053650198,-0.010237251782067733,0.015185976861084156,0.00209203890319913,3.535028778231444,1.8049010870474316,0.018433443629645847
9.623966,-0.092427,1.85625,0.001306,-0.001811,0.014215,0.395365,-0.549438,-0.32164,-0.662082,-2.586519,-79.074979,-116.177458,0.37,3.209045152531585,1.674557455739956,-10.760143218229878,-0.009594017098141302,0.015735256353799815,0.0002967399706101047,3.619684166272071,1.8585496530437382,0.018431807052196016
9.654578,-0.084962,1.869389,-0.003106,0.001638,0.017724,0.395402,-0.549457,-0.321626,-0.662051,-2.615559,-79.076127,-116.146353,0.38,3.253574058718223,1.6984086979714503,-10.897400434868457,-0.008774924583350814,0.016133714518324883,-0.0018104336940081224,3.6701956706569816,1.8713187261300517,0.018454639410259457
9.670261,-0.058115,1.858833,-0.002921,0.009603,0.017885,0.395458,-0.549445,-0.321603,-0.662038,-2.64193,-79.072617,-116.116539,0.39,3.2686986219272125,1.7072610976622076,-10.936637088927665,-0.007815714388299711,0.016387434955912175,-0.004179412864502001,3.6876999791983653,1.8597412387517784,0.018630644318586843
9.675831,-0.099369,1.873732,0.002562,0.018509,0.015596,0.395529,-0.549395,-0.321578,-0.66205,-2.659344,-79.064188,-116.094416,0.4,3.2565702885064103,1.7022332000266487,-10.885630193578086,-0.006759225685200574,0.01651018126560244,-0.006743585607329129,3.674622145371642,1.876365051365272,0.019072209209472862
9.684406,-0.081005,1.886421,0.002998,0.022335,0.0197,0.395628,-0.549332,-0.321545,-0.662059,-2.685882,-79.053339,-116.060977,0.41000000000000003,3.2203638825314003,1.6849531464433523,-10.755533828853853,-0.0056528906186447845,0.0165224506473066,-0.009422547856674355,3.634530319260257,1.8881594210410304,0.019842654959716533
9.703431,-0.10506,1.858832,0.001751,0.028585,0.014508,0.395709,-0.549248,-0.321502,-0.662101,-2.698545,-79.039158,-116.04393,0.42,3.1640968965486023,1.6574648597579515,-10.560241407087709,-0.004545865719022295,0.016450049900168923,-0.012125863589968979,3.5719321007097746,1.861798594860357,0.02093574944099124
9.673268,-0.152332,1.91664,-0.003137,0.035893,0.015597,0.3958,-0.549145,-0.321433,-0.662165,-2.71447,-79.020657,-116.024878,0.43,3.0924081637221312,1.6221147719604183,-10.31561688589137,-0.0034859865266045884,0.016322287241795356,-0.014757606743991647,3.4920258567867855,1.9226840426403917,0.022279051139526832
9.679408,-0.145322,1.898382,-0.002843,0.037357,0.015952,0.395906,-0.54903,-0.321372,-0.662227,-2.729569,-79.001164,-116.004415,0.44,3.010309887692099,1.581426335442034,-10.038643485880094,-0.002516758677861602,0.01616990990942443,-0.01722138443609921,3.4004227493602084,1.9039361075435277,0.02375660208483979
9.648043,-0.156014,1.888882,-0.00581,0.039265,0.017666,0.396001,-0.548925,-0.321282,-0.662301,-2.752513,-78.980674,-115.979771,0.45,2.922928171888715,1.5379700789953323,-9.746541966137087,-0.0016746132633088454,0.01602294666568118,-0.0194254965590855,3.3028565003502064,1.8953141106740063,0.02523666115000073
9.588124,-0.164388,1.898837,-0.007034,0.041094,0.01794,0.396095,-0.548818,-0.32118,-0.662383,-2.777401,-78.959157,-115.954392,0.46,2.835247341701361,1.4942369363889534,-9.45591049234741,-0.0009866514863751694,0.015908631207996064,-0.021287875693284115,3.2048980499687785,1.9059394972330577,0.026593827847835465
9.603181,-0.137725,1.891715,-0.008781,0.041175,0.019383,0.396191,-0.548715,-0.321072,-0.662463,-2.806614,-78.937521,-115.92509,0.47000000000000003,2.751872536332479,1.4525220168500648,-9.18193476315905,-0.0004690804907305974,0.015849583192112132,-0.022740472915771488,3.11169128701019,1.8967218606980836,0.027722886435279502
9.580731,-0.128563,1.893236,-0.006516,0.042843,0.016777,0.396298,-0.548592,-0.320984,-0.662544,-2.82605,-78.91487,-115.902613,0.48,2.676823365091288,1.4148249745570018,-8.937710728200447,-0.00012649776234362374,0.015862406345839797,-0.023732804293489368,3.02772406875674,1.8975961099941683,0.028546066916433233
9.556242,-0.130724,1.862177,-0.010371,0.040361,0.017428,0.396382,-0.548491,-0.320877,-0.662629,-2.850383,-78.893751,-115.879208,0.49,2.613369022666462,1.3827717718855463,-8.733713508390933,4.788254583320057e-05,0.015956828760181303,-0.024234442005102663,2.9566459750460745,1.866759744451599,0.029016044804876993
9.609759,-0.123201,1.914162,-0.001566,0.036714,0.017573,0.396483,-0.548387,-0.320804,-0.66269,-2.87124,-78.87474,-115.854599,0.5,2.5639123208051937,1.3575610415123642,-8.577435719275329,7.10471184276088e-05,0.01613546207685571,-0.02423631499251659,2.9011408738992337,1.9181226886320384,0.029116269481909426
9.587395,-0.113757,1.915255,-0.007179,0.038738,0.014199,0.396562,-0.548281,-0.32072,-0.662771,-2.884434,-78.85464,-115.84068,0.51,2.5299268257204153,1.3399365649159272,-8.473207078745384,-3.1882518059537656e-05,0.016394198874113263,-0.0237507693050703,2.8628586660012525,1.9186303370044997,0.028859483983633593
9.624141,-0.097835,1.910627,-0.008336,0.041748,0.016348,0.396647,-0.548174,-0.320615,-0.66286,-2.905493,-78.832814,-115.820305,0.52,2.5119479119930332,1.3301857235429784,-8.422195744028084,-0.0002304411475572151,0.01672320699356143,-0.022810421568855887,2.8424067920837293,1.9131302152111864,0.028284873827205157
9.668581,-0.110058,1.952183,-0.011276,0.0404,0.010908,0.396707,-0.548064,-0.320523,-0.662959,-2.911153,-78.811857,-115.816456,0.53,2.509615277308206,1.3281622536694127,-8.422581018558697,-0.0004921029972986636,0.017108422030247206,-0.021465915237239685,2.8393984947821176,1.9552829025112965,0.027454066851695345
9.624545,-0.089198,1.951015,-0.007949,0.041136,0.011433,0.396781,-0.547946,-0.32044,-0.663052,-2.916922,-78.790436,-115.810317,0.54,2.521761517214552,1.3333303358344148,-8.469877552631957,-0.0007857684996201066,0.017533390621410898,-0.01978275440288372,2.852551653197634,1.953052946908762,0.026446069473227776
9.616723,-0.098919,1.976877,-0.005383,0.044266,0.009185,0.396857,-0.54781,-0.320365,-0.663156,-2.913642,-78.767317,-115.812139,0.55,2.546538914208383,1.3448260390958149,-8.557383454069843,-0.0010851378313696842,0.01798128262715978,-0.017837440620757615,2.8798294249847074,1.9793503079773425,0.025351101296194643
9.604915,-0.131032,1.937806,-0.000143,0.044023,0.004875,0.39692,-0.547666,-0.320305,-0.663265,-2.897338,-78.744638,-115.826829,0.56,2.581574785056847,1.361531456606666,-8.67671918803818,-0.0013716569135233123,0.01843687357278122,-0.015713171734088396,2.918612046533553,1.9422310569703078,0.02426321322026597
9.569783,-0.08954,1.947707,-0.000312,0.044921,0.008277,0.397009,-0.547516,-0.320247,-0.663364,-2.888501,-78.72117,-115.831355,0.5700000000000001,2.6241446347443778,1.3821565221778842,-8.818420967808189,-0.001636755985626169,0.01888830169505309,-0.01349537658008421,2.965888014719465,1.9497640804592233,0.023271701702241587
9.550989,-0.130423,1.930467,-0.005096,0.045734,0.009546,0.397095,-0.547372,-0.320173,-0.663467,-2.885841,-78.697132,-115.831447,0.58,2.671352008517146,1.4053234725961932,-8.972551539851338,-0.001883164097820955,0.019328426260537636,-0.011267355874572177,3.018452520090123,1.934867694964697,0.022451896960671694
9.566088,-0.102611,1.923756,-0.009841,0.043289,0.003659,0.397139,-0.547238,-0.3201,-0.663586,-2.869543,-78.674731,-115.849152,0.59,2.720304285169827,1.4296491818875743,-9.129292712804384,-0.0021251681152946633,0.019755653040511575,-0.009106279489302286,3.073101395526209,1.926490634510586,0.021856955247989755
9.536641,-0.100803,1.94691,-0.009084,0.040894,0.006435,0.397186,-0.54712,-0.320021,-0.663694,-2.862594,-78.653679,-115.857929,0.6,2.76827463836662,1.4538210914446124,-9.279487410667159,-0.0023877827049067946,0.0201741448153752,-0.007079756660018681,3.1268099141701984,1.9495178360068932,0.02151326520179261
9.512345,-0.101736,1.915606,-0.008917,0.039999,0.003037,0.397226,-0.546994,-0.319959,-0.663803,-2.844575,-78.633177,-115.876851,0.61,2.812841895929571,1.4766631376155943,-9.41510409391632,-0.002704897667534937,0.02059339432574006,-0.005243151180667629,3.1768874001905383,1.918305648464811,0.021421834551470963
9.517225,-0.141811,1.932772,-0.006474,0.036341,0.002499,0.397259,-0.54688,-0.319907,-0.663903,-2.825745,-78.61485,-115.896369,0.62,2.8520019139757915,1.4971888810173943,-9.529602675553793,-0.0031165605487099702,0.02102719832778615,-0.003637760525863075,3.2211006601414516,1.937967482623225,0.021565929630167943
9.554114,-0.124557,1.927894,-0.001692,0.03553,0.001238,0.397305,-0.546752,-0.319883,-0.663992,-2.799237,-78.596953,-115.919729,0.63,2.8842462073806674,1.5146399202665914,-9.618188117333458,-0.0036656268608854297,0.021492128242105404,-0.0022899182543696583,3.257761543277063,1.9319134870601737,0.02192241141549088
9.508394,-0.114062,1.893325,-0.004265,0.032401,0.003483,0.397347,-0.546644,-0.319849,-0.664072,-2.782017,-78.580778,-115.935192,0.64,2.9086057947391324,1.528508583389802,-9.677945270382036,-0.0043940609907111355,0.022005639555490505,-0.001211016199767872,3.2857763403321227,1.8967576796915835,0.02247270576660403
9.505936,-0.125692,1.863776,-0.007423,0.030772,-0.000446,0.397365,-0.546541,-0.31982,-0.664161,-2.75481,-78.565647,-115.962619,0.65,2.9246603884897016,1.5385447920018311,-9.707855782986416,-0.00533919426689831,0.02258399406741253,-0.00039838164823265826,3.304657087353647,1.8680094906182894,0.023209965346683584
9.535892,-0.117041,1.880097,-0.011219,0.029472,0.002066,0.397375,-0.546456,-0.319771,-0.664248,-2.738082,-78.551224,-115.98219,0.66,2.9325150677526595,1.5447478461289768,-9.708704630067418,-0.006530242027960139,0.02324018359514703,0.00016310935524451942,3.314497025299087,1.8837365328224644,0.024140770475310984
9.580384,-0.128118,1.920637,-0.006729,0.027196,0.000451,0.397392,-0.546365,-0.319749,-0.664324,-2.713617,-78.538111,-116.006416,0.67,2.9327483090442894,1.5473446419940446,-9.682889672013406,-0.007985351013454626,0.02398204039955408,0.0004988431488493874,3.315914366401795,1.9249053762959363,0.025281474186073065
9.612207,-0.108013,1.969255,-0.005213,0.026831,0.000539,0.397408,-0.546275,-0.319726,-0.664399,-2.690035,-78.52526,-116.029797,0.68,2.926336634871124,1.5467564756400127,-9.634152343554963,-0.009709396613928603,0.02481069992514799,0.0006418909558027085,3.3099700445054134,1.9722150144428978,0.026650614202705498
9.631401,-0.130638,1.94217,0.000514,0.031591,0.002232,0.397457,-0.546158,-0.319715,-0.664471,-2.665972,-78.50958,-116.04938,0.6900000000000001,2.9145621138011695,1.543557074399568,-9.567250906855227,-0.011692682797648063,0.02571954852361917,0.0006302400753525237,3.29806621478922,1.9465586546374605,0.028259710009442707
9.647072,-0.139172,2.0022,0.002324,0.03269,0.002679,0.397524,-0.546028,-0.319714,-0.664539,-2.641434,-78.493134,-116.066667,0.7000000000000001,2.8989094802049498,1.5384248203775222,-9.487599568523546,-0.013910623036627354,0.026693746604557443,0.000504026839976378,3.28183288763699,2.0070310624362544,0.030105075720065648
9.637476,-0.159466,1.994643,0.002676,0.035335,0.004916,0.397594,-0.545898,-0.319695,-0.664613,-2.623306,-78.475237,-116.078931,0.71,2.8809597419061586,1.5320922825361005,-9.400897142886818,-0.01632440530602244,0.027710370476518115,0.0003029473175349362,3.263010235456009,2.0010072720020284,0.03216275202184014
